Task_Type	Trial_Number	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Trial_Min_Blur_Value	Selected_Blur_Value			
Afterimage_matching	2	3	0	"[-12, 0]"	4	6	2		
Afterimage_matching	3	4	0	"[-12, 0]"	6	11	4		
Afterimage_matching	4	2	0	"[12, 0]"	5	10	2		
Afterimage_matching	5	4	0	"[-12, 0]"	5	10	2		
Afterimage_matching	6	1	1	"[12, 0]"	5	4	3		
Afterimage_matching	7	4	0	"[-12, 0]"	4	11	4		
Afterimage_matching	8	4	0	"[-12, 0]"	6	10	4		
Afterimage_matching	9	1	1	"[-12, 0]"	6	4	3		
Afterimage_matching	10	2	0	"[12, 0]"	6	10	2		
Afterimage_matching	11	2	0	"[-12, 0]"	5	10	4		
Afterimage_matching	12	2	0	"[12, 0]"	5	11	4		
Afterimage_matching	13	4	0	"[12, 0]"	4	11	4		
Afterimage_matching	14	2	1	"[12, 0]"	6	11	2		
Afterimage_matching	15	4	0	"[12, 0]"	5	11	4		
Afterimage_matching	16	1	1	"[12, 0]"	4	4	3		
Afterimage_matching	17	4	0	"[12, 0]"	5	11	4		
Afterimage_matching	18	3	0	"[12, 0]"	6	5	4		
Afterimage_matching	19	4	0	"[12, 0]"	6	10	4		
Afterimage_matching	20	1	0	"[12, 0]"	5	4	4		
Afterimage_matching	21	4	0	"[-12, 0]"	4	10	4		
Afterimage_matching	22	4	0	"[-12, 0]"	4	10	4		
Afterimage_matching	23	1	1	"[-12, 0]"	5	6	2		
Afterimage_matching	24	2	1	"[-12, 0]"	6	12	4		
Afterimage_matching	25	4	0	"[12, 0]"	5	11	4		
Afterimage_matching	26	3	0	"[-12, 0]"	5	4	4		
Afterimage_matching	27	4	0	"[12, 0]"	5	10	4		
Afterimage_matching	28	2	0	"[-12, 0]"	4	10	1		
Afterimage_matching	29	2	1	"[-12, 0]"	4	12	1		
Afterimage_matching	30	3	1	"[-12, 0]"	6	4	2		
Afterimage_matching	31	4	0	"[-12, 0]"	4	11	4		
Afterimage_matching	32	2	1	"[-12, 0]"	4	12	1		
Afterimage_matching	33	1	0	"[-12, 0]"	6	5	4		
Afterimage_matching	34	3	1	"[-12, 0]"	6	5	2		
Afterimage_matching	35	2	1	"[-12, 0]"	4	12	4		
Afterimage_matching	36	3	1	"[-12, 0]"	4	6	2		
Afterimage_matching	37	1	1	"[12, 0]"	5	6	3		
Afterimage_matching	38	3	0	"[12, 0]"	5	6	4		
Afterimage_matching	39	4	0	"[12, 0]"	4	12	4		
Afterimage_matching	40	1	1	"[-12, 0]"	5	6	3		
Afterimage_matching	41	3	1	"[12, 0]"	4	5	1		
Afterimage_matching	42	3	0	"[12, 0]"	5	6	1		
Afterimage_matching	43	2	0	"[-12, 0]"	6	12	1		
Afterimage_matching	44	4	0	"[-12, 0]"	5	10	4		
Afterimage_matching	45	2	0	"[12, 0]"	4	12	2		
Afterimage_matching	46	3	1	"[12, 0]"	6	6	1		
Afterimage_matching	47	1	0	"[-12, 0]"	4	4	3		
Afterimage_matching	48	4	0	"[12, 0]"	4	11	4		
Afterimage_matching	49	2	0	"[-12, 0]"	4	11	4		
Afterimage_matching	50	1	0	"[-12, 0]"	5	5	4		
Afterimage_matching	51	3	1	"[-12, 0]"	6	4	2		
Afterimage_matching	52	3	0	"[12, 0]"	5	5	4		
Afterimage_matching	53	3	0	"[-12, 0]"	6	4	4		
Afterimage_matching	54	1	1	"[12, 0]"	5	5	1		
Afterimage_matching	55	1	0	"[12, 0]"	5	4	2		
Afterimage_matching	56	1	0	"[-12, 0]"	6	4	1		
Afterimage_matching	57	3	1	"[12, 0]"	4	5	1		
Afterimage_matching	58	1	0	"[12, 0]"	4	5	2		
Afterimage_matching	59	3	0	"[-12, 0]"	6	4	4		
Afterimage_matching	60	1	0	"[12, 0]"	5	6	3		
Afterimage_matching	61	2	1	"[12, 0]"	5	10	2		
Afterimage_matching	62	1	1	"[-12, 0]"	5	6	2		
Afterimage_matching	63	3	1	"[12, 0]"	6	5	4		
Afterimage_matching	64	2	1	"[12, 0]"	5	10	2		
Task_Type	Block_Number	Trial_Number	Trial_Condition	Afterimage_Present	Target_Location	Pre_Stimulus_Time	Post_Stimulus_Time	Afterimage_Onset	Afterimage_Offset
Main_Experiment	1	1	3	0	[12.  0.]	5	6	None	2.566222042
Main_Experiment	1	2	3	0	[-12.   0.]	4	5	None	None
Main_Experiment	1	3	4	0	[12.  0.]	5	10	None	None
Main_Experiment	1	4	3	1	[-12.   0.]	4	6	1.780148486	5.079304423
Main_Experiment	1	5	4	1	[12.  0.]	4	12	None	None
Main_Experiment	1	6	4	0	[-12.   0.]	6	12	None	None
Main_Experiment	1	7	3	0	[-12.   0.]	5	4	None	None
Main_Experiment	1	8	4	0	[12.  0.]	5	11	None	None
Main_Experiment	1	9	2	0	[12.  0.]	4	12	None	None
Main_Experiment	1	10	2	1	[-12.   0.]	4	11	2.533251831	4.748102253
Main_Experiment	1	11	3	1	[12.  0.]	4	6	1.929935401	4.739255455
Main_Experiment	1	12	4	1	[12.  0.]	4	11	None	None
Main_Experiment	1	13	4	1	[-12.   0.]	5	10	None	None
Main_Experiment	1	14	2	1	[12.  0.]	6	10	None	None
Main_Experiment	1	15	4	0	[-12.   0.]	5	12	None	None
Main_Experiment	1	16	2	1	[-12.   0.]	5	10	2.143391806	3.520921446
Main_Experiment	1	17	3	1	[-12.   0.]	6	4	1.84969038	4.679695718
Main_Experiment	1	18	2	0	[-12.   0.]	5	11	0.828888847	4.012171684
Main_Experiment	1	19	2	1	[12.  0.]	4	10	None	None
Main_Experiment	1	20	3	0	[12.  0.]	6	5	None	None
Main_Experiment	1	21	4	1	[-12.   0.]	6	11	None	None
Main_Experiment	1	22	2	0	[-12.   0.]	5	11	None	None
Main_Experiment	1	23	2	0	[12.  0.]	4	11	2.991890195	1.256222916
Main_Experiment	1	24	3	1	[12.  0.]	5	4	2.213816517	4.861843942
